Act_Num,Status,PUP_Name,PUP_Address,PUP_City,PUP_State,PUP_Zip,Symbol,Name
281364,A,WESBANCO,1 BANK PLZ ,WHEELING,WV,26003-3565,1_BANK_PLZ,1 BANK PLZ  (281364)
429031,A,WESBANCO - Lee St.,901 LEE ST E,CHARLESTON,WV,25301-1712,901_LEE_ST_E,901 LEE ST E (429031)
429739,A,INDIANAPOLIS LPO,10201 N ILLINOIS ST 140 ,CARMEL,IN,46290-1122,10201_N_ILLINOIS_ST_140,10201 N ILLINOIS ST 140  (429739)
613258,A,ABS/WESBANCO,1781 WESTBELT DR ,COLUMBUS,OH,43228-3811,1781_WESTBELT_DR,1781 WESTBELT DR  (613258)
00E823,A,WesBanco - Bexley,2710 E MAIN ST ,BEXLEY,OH,43209-2534,2710_E_MAIN_ST,2710 E MAIN ST  (00E823)
00E842,A,WESBANCO - Henderson,2000 W HENDERSON RD ,COLUMBUS,OH,43220-2453,2000_W_HENDERSON_RD,2000 W HENDERSON RD  (00E842)
096773,A,WESBANCO - Frankling Twp.,1793 MERCER RD ,ELLWOOD CITY,PA,16117-3051,1793_MERCER_RD,1793 MERCER RD  (096773)
09677E,A,WESBANCO - Ellwood City,600 LAWRENCE AVE ,ELLWOOD CITY,PA,16117-1930,600_LAWRENCE_AVE,600 LAWRENCE AVE  (09677E)
09677X,A,WESBANCO - Shenango,2731 ELLWOOD RD ,NEW CASTLE,PA,16101-6219,2731_ELLWOOD_RD,2731 ELLWOOD RD  (09677X)
09678R,A,WESBANCO - Fox Chapel,1060 FREEPORT RD ,PITTSBURGH,PA,15238-3102,1060_FREEPORT_RD,1060 FREEPORT RD  (09678R)
096799,A,WESBANCO - Neshannock,3360 WILMINGTON RD ,NEW CASTLE,PA,16105-1039,3360_WILMINGTON_RD,3360 WILMINGTON RD  (096799)
0968A0,A,WESBANCO - Center Twp.,3531 BRODHEAD RD ,MONACA,PA,15061-3125,3531_BRODHEAD_RD,3531 BRODHEAD RD  (0968A0)
0968A2,A,WESBANCO - Wexford,101 WEXFORD BAYNE RD 2 102 ,WEXFORD,PA,15090-8733,101_WEXFORD_BAYNE_RD_2_102,101 WEXFORD BAYNE RD 2 102  (0968A2)
0968E2,A,WESBANCO - Chippewa,2521 DARLINGTON RD ,BEAVER FALLS,PA,15010-7112,2521_DARLINGTON_RD,2521 DARLINGTON RD  (0968E2)
0968EA,A,WESBANCO - Baldwin,5035 CURRY RD ,PITTSBURGH,PA,15236-2543,5035_CURRY_RD,5035 CURRY RD  (0968EA)
0968EW,A,WESBANCO - Beaver,701 CORPORATION ST ,BEAVER,PA,15009-2713,701_CORPORATION_ST,701 CORPORATION ST  (0968EW)
0968EY,A,WESBANCO - Beaver Falls,1427 7TH AVE ,BEAVER FALLS,PA,15010-4220,1427_7TH_AVE,1427 7TH AVE  (0968EY)
1297AW,A,WESBANCO - Marietta,200 2ND ST ,MARIETTA,OH,45750-2925,200_2ND_ST,200 2ND ST  (1297AW)
1311AW,A,WESBANCO - Woodsfield,101 N SYCAMORE ST ,WOODSFIELD,OH,43793-1031,101_N_SYCAMORE_ST,101 N SYCAMORE ST  (1311AW)
1313AW,A,WESBANCO - OVP,50690 VALLEY CENTRE BLVD ,SAINT CLAIRSVILLE,OH,43950-1745,50690_VALLEY_CENTRE_BLVD,50690 VALLEY CENTRE BLVD  (1313AW)
1314AW,A,WESBANCO - Bethesda,105 S MAIN ST ,BETHESDA,OH,43719-7503,105_S_MAIN_ST,105 S MAIN ST  (1314AW)
1455AW,A,WESBANCO - Westside,300 TENNESSEE AVE ,CHARLESTON,WV,25302-2336,300_TENNESSEE_AVE,300 TENNESSEE AVE  (1455AW)
1473AW,A,WESBANCO - Sabraton,1350 EARL L CORE RD ,MORGANTOWN,WV,26505-5882,1350_EARL_L_CORE_RD,1350 EARL L CORE RD  (1473AW)
1507AW,A,WESBANCO - Gihon,260 GIHON VLG ,PARKERSBURG,WV,26101-7163,260_GIHON_VLG,260 GIHON VLG  (1507AW)
1512AW,A,WESBANCO - Ravenswood,2 WALL ST ,RAVENSWOOD,WV,26164-1715,2_WALL_ST,2 WALL ST  (1512AW)
1516AW,A,WESBANCO - Vienna,410 GRAND CENTRAL AVE ,VIENNA,WV,26105-2139,410_GRAND_CENTRAL_AVE,410 GRAND CENTRAL AVE  (1516AW)
1520AW,A,WESBANCO - Moundsville,910 LAFAYETTE AVE ,MOUNDSVILLE,WV,26041-2226,910_LAFAYETTE_AVE,910 LAFAYETTE AVE  (1520AW)
1524AW,A,WESBANCO - Steelton,285 N STATE ROUTE 2 ,NEW MARTINSVILLE,WV,26155-2203,285_N_STATE_ROUTE_2,285 N STATE ROUTE 2  (1524AW)
1527AW,A,WESBANCO - New Martinsville,190 MAIN ST ,NEW MARTINSVILLE,WV,26155-1265,190_MAIN_ST,190 MAIN ST  (1527AW)
1529AW,A,WESBANCO - Paden City,101 S 4TH AVE ,PADEN CITY,WV,26159-1443,101_S_4TH_AVE,101 S 4TH AVE  (1529AW)
1576AW,A,WESBANCO - Penco,333 PENCO RD ,WEIRTON,WV,26062-3898,333_PENCO_RD,333 PENCO RD  (1576AW)
1577AW,A,WESBANCO - Woodsdale,835 NATIONAL RD ,WHEELING,WV,26003-6438,835_NATIONAL_RD,835 NATIONAL RD  (1577AW)
1582AW,A,WESBANCO - Elm Grove,2207 NATIONAL RD ,WHEELING,WV,26003-5298,2207_NATIONAL_RD,2207 NATIONAL RD  (1582AW)
2E04E2,A,WESBANCO - Powell,10716 SAWMILL PKWY ,POWELL,OH,43065-6687,10716_SAWMILL_PKWY,10716 SAWMILL PKWY  (2E04E2)
2W3498,A,WESBANCO - Suncrest TC,101 SUNCREST TOWN CENTRE DR ,MORGANTOWN,WV,26505-1827,101_SUNCREST_TOWN_CENTRE_DR,101 SUNCREST TOWN CENTRE DR  (2W3498)
2X657R,A,WESBANCO - Rock,4650 1ST AVE ,NITRO,WV,25143-1003,4650_1ST_AVE,4650 1ST AVE  (2X657R)
2X679A,A,WESBANCO - Huntington,823 8TH ST ,HUNTINGTON,WV,25701-2801,823_8TH_ST,823 8TH ST  (2X679A)
3002AF,A,WESBANCO - Tates Creek,3346 TATES CREEK RD ,LEXINGTON,KY,40502-3408,3346_TATES_CREEK_RD,3346 TATES CREEK RD  (3002AF)
3002AY,A,WESBANCO - Vine St.,400 E VINE ST 101 ,LEXINGTON,KY,40507-1500,400_E_VINE_ST_101,400 E VINE ST 101  (3002AY)
3002E1,A,WESBANCO - Scottsburg,125 W MCCLAIN AVE ,SCOTTSBURG,IN,47170-2016,125_W_MCCLAIN_AVE,125 W MCCLAIN AVE  (3002E1)
3002E2,A,WESBANCO - Hamburg,102 HERITAGE SQ ,SELLERSBURG,IN,47172-1863,102_HERITAGE_SQ,102 HERITAGE SQ  (3002E2)
3002E3,A,WESBANCO - Hwy 62,5112 E HIGHWAY 62 ,JEFFERSONVILLE,IN,47130-8706,5112_E_HIGHWAY_62,5112 E HIGHWAY 62  (3002E3)
3002E4,A,WESBANCO - Court Ave,201 W COURT AVE ,JEFFERSONVILLE,IN,47130-3529,201_W_COURT_AVE,201 W COURT AVE  (3002E4)
3002E8,A,WESBANCO - State St.,480 NEW ALBANY PLZ ,NEW ALBANY,IN,47150-4656,480_NEW_ALBANY_PLZ,480 NEW ALBANY PLZ  (3002E8)
3002FY,A,WESBANCO - Spring St.,101 W SPRING ST ,NEW ALBANY,IN,47150-3660,101_W_SPRING_ST,101 W SPRING ST  (3002FY)
301F89,A,WESBANCO - Brandenburg,416 BROADWAY ST ,BRANDENBURG,KY,40108-1102,416_BROADWAY_ST,416 BROADWAY ST  (301F89)
301F91,A,WESBANCO - Shepherdsville,395 N BUCKMAN ST ,SHEPHERDSVILLE,KY,40165-7921,395_N_BUCKMAN_ST,395 N BUCKMAN ST  (301F91)
301F92,A,WESBANCO - Mt. Washington,279 N BARDSTOWN RD ,MOUNT WASHINGTON,KY,40047-7645,279_N_BARDSTOWN_RD,279 N BARDSTOWN RD  (301F92)
301F96,A,WESBANCO - Stonybrook,3650 SOUTH HURSBOURNE PKWY ,LOUISVILLE,KY,40229-7316,3650_SOUTH_HURSBOURNE_PKWY,3650 SOUTH HURSBOURNE PKWY  (301F96)
301F97,A,WESBANCO - Blakenbaker,301 BLANKENBAKER PKWY ,LOUISVILLE,KY,40243-1879,301_BLANKENBAKER_PKWY,301 BLANKENBAKER PKWY  (301F97)
551R02,A,FRANKLIN SQUARE,1301 US HIGHWAY 127 S ,FRANKFORT,KY,40601-4358,1301_US_HIGHWAY_127_S,1301 US HIGHWAY 127 S  (551R02)
551R12,A,WESBANCO NEWPORT,103 CHURCHILL DR ,NEWPORT,KY,41071-2506,103_CHURCHILL_DR,103 CHURCHILL DR  (551R12)
551R15,A,ORCHARD,986 N MAIN ST ,NICHOLASVILLE,KY,40356-2308,986_N_MAIN_ST,986 N MAIN ST  (551R15)
551R18,A,VERSAILLES MAIN,100 UNITED DR ,VERSAILLES,KY,40383-2408,100_UNITED_DR,100 UNITED DR  (551R18)
551R20,A,WEST PARK,201 WEST PARK SHOPPING CTR ,LAWRENCEBURG,KY,40342,201_WEST_PARK_SHOPPING_CTR,201 WEST PARK SHOPPING CTR  (551R20)
551R22,A,GEORGETOWN MAIN,200 E MAIN ST ,GEORGETOWN,KY,40324-1712,200_E_MAIN_ST,200 E MAIN ST  (551R22)
551R28,A,RING ROAD FFKT,3030 RING RD ,ELIZABETHTOWN,KY,42701-7932,3030_RING_RD,3030 RING RD  (551R28)
551R30,A,SIR BARTON FFKT,2509 SIR BARTON WAY ,LEXINGTON,KY,40509-2275,2509_SIR_BARTON_WAY,2509 SIR BARTON WAY  (551R30)
551R31,A,RADCLIFF FFKT,645 S DIXIE BLVD ,RADCLIFF,KY,40160-1219,645_S_DIXIE_BLVD,645 S DIXIE BLVD  (551R31)
551R32,A,WEST DIXIE FFKT,425 W DIXIE AVE ,ELIZABETHTOWN,KY,42701-2432,425_W_DIXIE_AVE,425 W DIXIE AVE  (551R32)
551RX6,A,ALEXANDRIA,7300 ALEXANDRIA PIKE ,ALEXANDRIA,KY,41001-1038,7300_ALEXANDRIA_PIKE,7300 ALEXANDRIA PIKE  (551RX6)
551RX8,A,BELLEVUE KY,164 FAIRFIELD AVE ,BELLEVUE,KY,41073-1059,164_FAIRFIELD_AVE,164 FAIRFIELD AVE  (551RX8)
551RX9,A,BRADFORD,100 N BRADFORD LN ,GEORGETOWN,KY,40324-2337,100_N_BRADFORD_LN,100 N BRADFORD LN  (551RX9)
551RY7,A,FORT THOMAS,34 N FORT THOMAS AVE ,FORT THOMAS,KY,41075-1539,34_N_FORT_THOMAS_AVE,34 N FORT THOMAS AVE  (551RY7)
551RY8,A,FRANKFORT MAIN,125 W MAIN ST ,FRANKFORT,KY,40601-2807,125_W_MAIN_ST,125 W MAIN ST  (551RY8)
551RY9,A,FRANKFORT EAST,154 VERSAILLES RD ,FRANKFORT,KY,40601-3208,154_VERSAILLES_RD,154 VERSAILLES RD  (551RY9)
6V54Y7,A,WESBANCO TRUST BUILDING,201 W MAIN ST ,FRANKFORT,KY,40601-1867,201_W_MAIN_ST,201 W MAIN ST  (6V54Y7)
7634AW,A,WESBANCO - Wellsburg,745 CHARLES ST ,WELLSBURG,WV,26070-1615,745_CHARLES_ST,745 CHARLES ST  (7634AW)
7R102Y,A,WESBANCO - Ironton,311 S 5TH ST ,IRONTON,OH,45638-1609,311_S_5TH_ST,311 S 5TH ST  (7R102Y)
7R1033,A,WESBANCO - Mason,6501 S MASON MONTGOMERY RD ,MASON,OH,45040-3711,6501_S_MASON_MONTGOMERY_RD,6501 S MASON MONTGOMERY RD  (7R1033)
7R1036,A,WESBANCO - Franklin,310 S MAIN ST ,FRANKLIN,OH,45005-2228,310_S_MAIN_ST,310 S MAIN ST  (7R1036)
7R103Y,A,WESBANCO - Blue Ash,4811 COOPER RD ,CINCINNATI,OH,45242-6912,4811_COOPER_RD,4811 COOPER RD  (7R103Y)
7R1044,A,WESBANCO - Jackson Insurance,317 RALPH ST ,JACKSON,OH,45640-2036,317_RALPH_ST,317 RALPH ST  (7R1044)
7R10R9,A,WESBANCO - Chillicothe,49 E WATER ST ,CHILLICOTHE,OH,45601-2535,49_E_WATER_ST,49 E WATER ST  (7R10R9)
88X245,A,WESBANCO - Brighton Rd.,3300 BRIGHTON RD ,PITTSBURGH,PA,15212-2334,3300_BRIGHTON_RD,3300 BRIGHTON RD  (88X245)
88X431,A,WESBANCO - Zelienople,251 S MAIN ST ,ZELIENOPLE,PA,16063-1151,251_S_MAIN_ST,251 S MAIN ST  (88X431)
88X46X,A,WESBANCO - Perrysville,1009 PERRY HWY ,PITTSBURGH,PA,15237-2108,1009_PERRY_HWY,1009 PERRY HWY  (88X46X)
88X481,A,WESBANCO - Carnegie,100 BROADWAY ST ,CARNEGIE,PA,15106-2472,100_BROADWAY_ST,100 BROADWAY ST  (88X481)
88X50E,A,WESBANCO - McCandless,617 DUNCAN AVE ,PITTSBURGH,PA,15237-5854,617_DUNCAN_AVE,617 DUNCAN AVE  (88X50E)
88X51V,A,WESBANCO - Bellevue PA,683 LINCOLN AVE ,PITTSBURGH,PA,15202-3422,683_LINCOLN_AVE,683 LINCOLN AVE  (88X51V)
88X584,A,WESBANCO - Bloomfield,4710 LIBERTY AVE ,PITTSBURGH,PA,15224,4710_LIBERTY_AVE,4710 LIBERTY AVE  (88X584)
8Y904E,A,DAMASCUS WESBANCO,26500 RIDGE RD ,DAMASCUS,MD,20872-1915,26500_RIDGE_RD,26500 RIDGE RD  (8Y904E)
8Y907V,A,GLEN BURNIE WESBANCO,427 CRAIN HWY N ,GLEN BURNIE,MD,21061-3008,427_CRAIN_HWY_N,427 CRAIN HWY N  (8Y907V)
8Y9093,A,GREENBELT WESBANCO,6421 IVY LN ,GREENBELT,MD,20770-1442,6421_IVY_LN,6421 IVY LN  (8Y9093)
8Y90A1,A,CANTON WESBANCO,531 S CONKLING ST ,BALTIMORE,MD,21224-4202,531_S_CONKLING_ST,531 S CONKLING ST  (8Y90A1)
8Y90Y1,A,CLINTON WESBANCO,7801 OLD BRANCH AVE ,CLINTON,MD,20735-1608,7801_OLD_BRANCH_AVE,7801 OLD BRANCH AVE  (8Y90Y1)
8Y9165,A,MOUNT AIRY WESBANCO,201 E RIDGEVILLE BLVD ,MOUNT AIRY,MD,21771-5257,201_E_RIDGEVILLE_BLVD,201 E RIDGEVILLE BLVD  (8Y9165)
8Y918W,A,PERRY HALL WESBANCO,4040 SCHROEDER AVE ,PERRY HALL,MD,21128-9704,4040_SCHROEDER_AVE,4040 SCHROEDER AVE  (8Y918W)
8Y918Y,A,PIKESVILLE WESBANCO,1732 REISTERSTOWN RD ,PIKESVILLE,MD,21208-2903,1732_REISTERSTOWN_RD,1732 REISTERSTOWN RD  (8Y918Y)
8Y9199,A,PRINCE FREDERICK,691 PRINCE FREDERICK BLVD ,PRINCE FREDERICK,MD,20678-3144,691_PRINCE_FREDERICK_BLVD,691 PRINCE FREDERICK BLVD  (8Y9199)
8Y91W3,A,LAPLATA WESBANCO,101 E CHARLES ST 102 ,LA PLATA,MD,20646-4901,101_E_CHARLES_ST_102,101 E CHARLES ST 102  (8Y91W3)
8Y921E,A,ROCKVILLE PIKE WEBANCO,1801 ROCKVILLE PIKE 100 ,ROCKVILLE,MD,20852-5642,1801_ROCKVILLE_PIKE_100,1801 ROCKVILLE PIKE 100  (8Y921E)
8Y9282,A,WALDORF CRAIN HWY WESBANCO,2995 CRAIN HWY 100 ,WALDORF,MD,20601-2834,2995_CRAIN_HWY_100,2995 CRAIN HWY 100  (8Y9282)
8Y92F4,A,RIVERDALE WESBANCO,6611 BALTIMORE AVE 3C ,RIVERDALE,MD,20737-1025,6611_BALTIMORE_AVE_3C,6611 BALTIMORE AVE 3C  (8Y92F4)
8Y9338,A,TOWSON WESBANCO,849 FAIRMONT AVE ,TOWSON,MD,21286-2624,849_FAIRMONT_AVE,849 FAIRMONT AVE  (8Y9338)
8Y93F1,A,WALDORF RTE. 5 WESBANCO,3135 LEONARDTOWN RD ,WALDORF,MD,20601,3135_LEONARDTOWN_RD,3135 LEONARDTOWN RD  (8Y93F1)
8Y9V74,A,ANNAPOLIS WESBANCO,2530 RIVA RD 100 ,ANNAPOLIS,MD,21401-7444,2530_RIVA_RD_100,2530 RIVA RD 100  (8Y9V74)
8Y9V78,A,ARBUTUS WESBANCO,817 MAIDEN CHOICE LN 108 ,CATONSVILLE,MD,21228-3971,817_MAIDEN_CHOICE_LN_108,817 MAIDEN CHOICE LN 108  (8Y9V78)
8Y9Y41,A,BOWIE WESBANCO,1525 POINTER RIDGE PL ,BOWIE,MD,20716-1833,1525_POINTER_RIDGE_PL,1525 POINTER RIDGE PL  (8Y9Y41)
8Y9Y95,A,CALIFORNIA WESBANCO,22741 THREE NOTCH RD ,CALIFORNIA,MD,20619-3099,22741_THREE_NOTCH_RD,22741 THREE NOTCH RD  (8Y9Y95)
91V060,A,WESBANCO - St. C Main,135 W MAIN ST ,SAINT CLAIRSVILLE,OH,43950-1224,135_W_MAIN_ST,135 W MAIN ST  (91V060)
91V091,A,WESBANCO - Clarksburg,140 W MAIN ST ,CLARKSBURG,WV,26301-2942,140_W_MAIN_ST,140 W MAIN ST  (91V091)
99V457,A,WESBANCO - Trinity Point,1003 TRINITY CIR ,WASHINGTON,PA,15301-2973,1003_TRINITY_CIR,1003 TRINITY CIR  (99V457)
A33R08,A,WESBANCO - Flushing,219 HIGH ST ,FLUSHING,OH,43977-9704,219_HIGH_ST,219 HIGH ST  (A33R08)
A33R20,A,WESBANCO - Highlands,100 CABELA DR ,TRIADELPHIA,WV,26059-1048,100_CABELA_DR,100 CABELA DR  (A33R20)
A93674,A,WESBANCO - Gallipolis,500 3RD AVE ,GALLIPOLIS,OH,45631-1235,500_3RD_AVE,500 3RD AVE  (A93674)
AC6637,A,WESBANCO - Cleveland LPO,"1111 Superior Ave E, Ste. 111",Cleveland ,OH,44114,"1111_Superior_Ave_E,_Ste._111","1111 Superior Ave E, Ste. 111 (AC6637)"
AC9516,A,WESBANCO - Route 100,6050 MEADOWRIDGE CENTER DR ,ELKRIDGE,MD,21075-6088,6050_MEADOWRIDGE_CENTER_DR,6050 MEADOWRIDGE CENTER DR  (AC9516)
B34665,A,WESBANCO - Grove City,5901 HOOVER RD ,GROVE CITY,OH,43123-9702,5901_HOOVER_RD,5901 HOOVER RD  (B34665)
B35V30,A,WESBANCO JOHN ROWAN,401 E JOHN ROWAN BLVD ,BARDSTOWN,KY,40004-2043,401_E_JOHN_ROWAN_BLVD,401 E JOHN ROWAN BLVD  (B35V30)
B35V32,A,WESBANCO PEAR ORCHARD,2101 N DIXIE HWY 111 ,ELIZABETHTOWN,KY,42701-7835,2101_N_DIXIE_HWY_111,2101 N DIXIE HWY 111  (B35V32)
B35V33,A,WESBANCO PEACHTREE,4328 CHARLESTOWN RD ,NEW ALBANY,IN,47150-9568,4328_CHARLESTOWN_RD,4328 CHARLESTOWN RD  (B35V33)
B35V35,A,WESBANCO ORCHARD,986 N MAIN ST ,NICHOLASVILLE,KY,40356-2308,986_N_MAIN_ST,986 N MAIN ST  (B35V35)
B35V59,A,WESBANCO HIGHLANDER PT.,701 HIGHLANDER POINT DR ,FLOYDS KNOBS,IN,47119-9442,701_HIGHLANDER_POINT_DR,701 HIGHLANDER POINT DR  (B35V59)
B3672R,A,WESBANCO SHINNSTON,329 PIKE ST ,SHINNSTON,WV,26431-1115,329_PIKE_ST,329 PIKE ST  (B3672R)
B3672X,A,WESBANCO BRIDGEPORT HILL,1203 W MAIN ST ,BRIDGEPORT,WV,26330-1656,1203_W_MAIN_ST,1203 W MAIN ST  (B3672X)
B3673Y,A,WESBANCO WHITEHALL,2820 WHITE HALL BLVD ,FAIRMONT,WV,26554-8237,2820_WHITE_HALL_BLVD,2820 WHITE HALL BLVD  (B3673Y)
B37095,A,WESBANCO WHEELERSBURG,9000 OHIO RIVER RD ,WHEELERSBURG,OH,45694-1924,9000_OHIO_RIVER_RD,9000 OHIO RIVER RD  (B37095)
